Hour  |  2010  |  2011  |  2012  |  2013  |  2014  |  2015  |  2016  |
------+--------+--------+--------+--------+--------+--------+--------+
0:00  | 01.14% | 01.15% | 01.22% | 01.07% | 01.06% | 01.02% | 00.91% |
1:00  | 00.86% | 00.81% | 00.80% | 00.76% | 00.77% | 00.74% | 00.67% |
2:00  | 00.74% | 00.64% | 00.71% | 00.66% | 00.60% | 00.59% | 00.48% |
3:00  | 00.22% | 00.23% | 00.29% | 00.21% | 00.22% | 00.22% | 00.18% |
4:00  | 00.09% | 00.15% | 00.22% | 00.23% | 00.19% | 00.18% | 00.14% |
5:00  | 00.17% | 00.41% | 00.45% | 00.49% | 00.43% | 00.43% | 00.45% |
6:00  | 01.09% | 01.37% | 01.60% | 01.31% | 01.16% | 01.14% | 01.32% |
7:00  | 03.06% | 04.01% | 03.90% | 03.92% | 03.34% | 03.20% | 03.69% |
8:00  | 03.89% | 04.73% | 04.95% | 04.69% | 04.40% | 04.41% | 04.79% |
9:00  | 04.06% | 04.18% | 04.15% | 03.68% | 03.75% | 04.05% | 04.49% |
10:00 | 04.79% | 04.30% | 04.46% | 04.30% | 04.42% | 04.43% | 04.61% |
11:00 | 06.99% | 06.18% | 06.01% | 05.85% | 06.01% | 06.02% | 06.31% |
12:00 | 08.33% | 07.79% | 07.31% | 07.08% | 07.49% | 07.18% | 07.50% |
13:00 | 07.68% | 07.02% | 06.80% | 06.84% | 07.30% | 07.10% | 07.16% |
14:00 | 07.00% | 06.62% | 06.33% | 06.91% | 07.01% | 07.02% | 06.96% |
15:00 | 07.44% | 07.18% | 06.81% | 07.19% | 07.40% | 07.39% | 07.43% |
16:00 | 08.59% | 08.58% | 08.46% | 08.77% | 08.69% | 08.64% | 09.05% |
17:00 | 09.09% | 09.52% | 09.55% | 09.75% | 09.31% | 09.35% | 09.15% |
18:00 | 07.10% | 07.45% | 07.54% | 07.97% | 07.89% | 08.06% | 07.54% |
19:00 | 05.39% | 05.57% | 05.76% | 05.99% | 06.37% | 06.37% | 05.85% |
20:00 | 04.27% | 04.37% | 04.55% | 04.59% | 04.80% | 04.88% | 04.55% |
21:00 | 03.48% | 03.45% | 03.56% | 03.52% | 03.38% | 03.42% | 03.15% |
22:00 | 02.71% | 02.59% | 02.77% | 02.56% | 02.39% | 02.50% | 02.23% |
23:00 | 01.80% | 01.71% | 01.80% | 01.66% | 01.61% | 01.64% | 01.37% |
