Season,Day,Hour,Count
2010,Mon,0:00,100
2010,Mon,1:00,86
2010,Mon,2:00,75
2010,Mon,3:00,36
2010,Mon,4:00,11
2010,Mon,5:00,28
2010,Mon,6:00,199
2010,Mon,7:00,493
2010,Mon,8:00,581
2010,Mon,9:00,508
2010,Mon,10:00,559
2010,Mon,11:00,846
2010,Mon,12:00,991
2010,Mon,13:00,787
2010,Mon,14:00,725
2010,Mon,15:00,740
2010,Mon,16:00,974
2010,Mon,17:00,1158
2010,Mon,18:00,956
2010,Mon,19:00,750
2010,Mon,20:00,538
2010,Mon,21:00,434
2010,Mon,22:00,290
2010,Mon,23:00,153
2010,Tue,0:00,83
2010,Tue,1:00,58
2010,Tue,2:00,45
2010,Tue,3:00,4
2010,Tue,4:00,7
2010,Tue,5:00,37
2010,Tue,6:00,200
2010,Tue,7:00,536
2010,Tue,8:00,615
2010,Tue,9:00,566
2010,Tue,10:00,453
2010,Tue,11:00,743
2010,Tue,12:00,931
2010,Tue,13:00,783
2010,Tue,14:00,715
2010,Tue,15:00,722
2010,Tue,16:00,1008
2010,Tue,17:00,1262
2010,Tue,18:00,1064
2010,Tue,19:00,736
2010,Tue,20:00,558
2010,Tue,21:00,414
2010,Tue,22:00,327
2010,Tue,23:00,165
2010,Wed,0:00,88
2010,Wed,1:00,70
2010,Wed,2:00,54
2010,Wed,3:00,7
2010,Wed,4:00,5
2010,Wed,5:00,24
2010,Wed,6:00,211
2010,Wed,7:00,587
2010,Wed,8:00,687
2010,Wed,9:00,562
2010,Wed,10:00,504
2010,Wed,11:00,738
2010,Wed,12:00,1039
2010,Wed,13:00,753
2010,Wed,14:00,603
2010,Wed,15:00,653
2010,Wed,16:00,966
2010,Wed,17:00,1278
2010,Wed,18:00,928
2010,Wed,19:00,749
2010,Wed,20:00,588
2010,Wed,21:00,396
2010,Wed,22:00,279
2010,Wed,23:00,220
2010,Thu,0:00,120
2010,Thu,1:00,68
2010,Thu,2:00,53
2010,Thu,3:00,17
2010,Thu,4:00,3
2010,Thu,5:00,29
2010,Thu,6:00,191
2010,Thu,7:00,539
2010,Thu,8:00,640
2010,Thu,9:00,545
2010,Thu,10:00,557
2010,Thu,11:00,787
2010,Thu,12:00,1013
2010,Thu,13:00,767
2010,Thu,14:00,681
2010,Thu,15:00,776
2010,Thu,16:00,1132
2010,Thu,17:00,1435
2010,Thu,18:00,1051
2010,Thu,19:00,769
2010,Thu,20:00,630
2010,Thu,21:00,519
2010,Thu,22:00,296
2010,Thu,23:00,278
2010,Fri,0:00,133
2010,Fri,1:00,96
2010,Fri,2:00,58
2010,Fri,3:00,16
2010,Fri,4:00,13
2010,Fri,5:00,27
2010,Fri,6:00,190
2010,Fri,7:00,594
2010,Fri,8:00,665
2010,Fri,9:00,566
2010,Fri,10:00,623
2010,Fri,11:00,1005
2010,Fri,12:00,1280
2010,Fri,13:00,1111
2010,Fri,14:00,917
2010,Fri,15:00,944
2010,Fri,16:00,1162
2010,Fri,17:00,1252
2010,Fri,18:00,916
2010,Fri,19:00,708
2010,Fri,20:00,609
2010,Fri,21:00,581
2010,Fri,22:00,523
2010,Fri,23:00,406
2010,Sat,0:00,290
2010,Sat,1:00,218
2010,Sat,2:00,224
2010,Sat,3:00,65
2010,Sat,4:00,36
2010,Sat,5:00,20
2010,Sat,6:00,44
2010,Sat,7:00,215
2010,Sat,8:00,365
2010,Sat,9:00,621
2010,Sat,10:00,1084
2010,Sat,11:00,1431
2010,Sat,12:00,1611
2010,Sat,13:00,1774
